id,status,sort,name,slug,image,description,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbdv,cbn,cbg,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
1307,2,0,Platinum GSC,NA,NA,NA,Hybrid,NA,Holistic Healing Collective,NA,NA,NA,"Richmond, CA",NA,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1308,2,0,Tahoe,NA,NA,NA,Hybrid,NA,Green Relief,NA,NA,NA,"San Juan Capistrano, CA",NA,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1309,2,0,DJ Flo Smoothe,NA,NA,NA,Hybrid,NA,Green Relief,NA,NA,NA,"San Juan Capistrano, CA",NA,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1310,2,0,Water Melon,NA,NA,NA,Sativa,NA,Green Relief,NA,NA,NA,"San Juan Capistrano, CA",NA,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1311,2,0,Rock Glacier Kush,NA,NA,NA,Indica,NA,WOSC,NA,NA,NA,"Cypress, CA",NA,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1312,2,0,Bubba Punch,NA,NA,NA,Indica,NA,Pro215.com,NA,NA,NA,"La Habra, CA",NA,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,2,0,Kyptonite,NA,NA,NA,Indica,NA,Holistic Healing Collective,NA,NA,NA,"Richmond, CA",NA,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1314,2,0,Trash,NA,NA,NA,Hybrid,NA,Holistic Healing Collective,NA,NA,NA,"Richmond, CA",NA,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1315,2,0,Outdoor Shreck,NA,NA,NA,Sativa,NA,Holistic Healing Collective,NA,NA,NA,"Richmond, CA",NA,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1316,2,0,Tropicana,NA,NA,NA,Sativa,NA,Holistic Healing Collective,NA,NA,NA,"Richmond, CA",NA,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1317,2,0,Amst. Acid W,NA,NA,NA,Indica,NA,California Alternative...,NA,NA,NA,"Venice, CA",NA,700,0,0,1000,0,0,100000,0,0,0,0,0,0,0,0,0
1318,2,0,OG Cone Mix,NA,NA,NA,Organi,NA,Humboldt County Housewives,NA,NA,NA,"Humboldt, CA",NA,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1319,2,0,Sour Afgoo,NA,NA,NA,Sativa,NA,Holistic Healing Collective,NA,NA,NA,"Richmond, CA",NA,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320,2,0,Tangerine,NA,NA,NA,Hybrid,NA,Juan Moore,NA,NA,NA,"Richmond, CA",NA,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321,2,0,Platinum Afgoo,NA,NA,NA,Indica,NA,Holistic Healing Collective,NA,NA,NA,"Richmond, CA",NA,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322,2,0,Lab Skywalker OG,NA,NA,NA,Indica,NA,GreenLeaf Healing Collective,NA,NA,NA,"Sherman Oaks, CA",NA,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1323,2,0,Oakland Crippler,NA,NA,NA,Hybrid,NA,GreenLeaf Healing Collective,NA,NA,NA,"Sherman Oaks, CA",NA,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1324,2,0,Cookie Cone,NA,NA,NA,Hybrid,NA,Holistic Healing Collective,NA,NA,NA,"Richmond, CA",NA,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1325,2,0,Tahoe OG Kush,NA,NA,NA,Hybrid,NA,The Cali Connection,NA,NA,NA,"Richmond, CA",NA,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1326,2,0,Master OG,NA,NA,NA,Hybrid,NA,Cabin Fever Seed Breeders,"Relaxed, Sleepy, Happy, Focused, Hungry, Dry Mouth, Paranoid","Pain, Muscle Spasms, Insomnia, Stress","Earthy, Citrus, Pine","Valley Village, CA",NA,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1327,2,0,3x Time Crazy,NA,NA,NA,Hybrid,NA,Holistic Healing Collective,NA,NA,NA,"Richmond, CA",NA,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1328,2,0,Midnight Purple,NA,NA,NA,Hybrid,NA,Unknown Breeder,NA,NA,NA,"Richmond, CA",NA,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1329,2,0,Hawaiian Lights,NA,NA,NA,Hybrid,NA,Jordan of the Islands,NA,NA,NA,"Richmond, CA",NA,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1330,2,0,Eat My Cookie,NA,NA,NA,Hybrid,NA,Healing Orange County,NA,NA,NA,"Santa Ana, CA",NA,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
