id,name,slug,location,category,instagram
93,Avitas (CANADA),avitas-canada,CA,"Edibles,",NA
94,Awakened Topicals,awakened-topicals,CA,"Medical,",NA
95,AZ Exclusive Extracts,az-exclusive-extracts,CA,"Concentrates,",NA
96,Azlu Edibles,azlu-edibles,CA,"Edibles, Medical,",NA
97,Bad Wizard Concentrates,bad-wizard-concentrates,Ca,"Concentrates,",NA
98,BaKed,baked,CA,NA,NA
99,Baked Babysitter,baked-babysitter,CA,"Edibles,",NA
100,Baked Bees Medicated Honey,baked-bees-medicated-honey,CA,"Edibles,",NA
101,Baked Bros,baked-bros,AZ,"Edibles,",NA
102,Baked by coco,baked-by-coco,OR,"Edibles,",NA
103,Baked Edibles (CANADA),baked-edibles-canada,BC,NA,NA
104,Baked Sale Medibles,baked-sale-medibles,MI,"Edibles,",NA
105,Baker Bros,baker-bros,OR,"Edibles,",NA
106,Bakked,bakked,AZ,"Concentrates,",NA
107,BaM,bam,NV,"Flower, Concentrates, Vape Pens, Edibles, Medical,",NA
108,Bambino Blunts,bambino-blunts,CA,"Flower,",NA
109,BAMF Extractions,bamf-extractions,CA,"Flower, Concentrates,",NA
110,Banzai Vapes,banzai-vapes,CA,"Vapes,",NA
111,Barely Legal,barely-legal,CA,"Concentrates,",NA
112,Barewoods,barewoods,California,NA,NA
113,Bark Wellness,bark-wellness,CA,"Edibles,",NA
114,Baroni,baroni,CA,"Concentrates,",NA
115,Bayflower,bayflower,CA,"Concentrates,",NA
116,BCN Seeds,bcn-seeds,CA,"Flower,",NA
117,Be Tru Organics,be-tru-organics,CA,"Medical,",NA
118,Be Well Botanicals,be-well-botanicals,CA,"Medical,",NA
119,Beard Bros Pharms,beard-bros-pharms,CA,"Flower, Concentrates, Edibles, Medical,",NA
120,Beboe,beboe,CA,"Vapes, Edibles,",NA
121,Bedder Budder PDX,bedder-budder-pdx,CA,"Edibles,",NA
122,BeeBuzzed Extracts,beebuzzed-extracts,CA,"Flower, Concentrates,",NA
123,Beehive Extracts,beehive-extracts,OR,"Concentrates,",NA
124,Beezle Extracts,beezle-extracts,CA,"Concentrates, Vape Pens,",NA
125,Bert Baccaratt,bert-baccaratt,California,"Flower,",NA
126,Best Coast Genetics,best-coast-genetics,CA,"Flower,",NA
127,Beta Seeds Bank,beta-seeds-bank,CA,"Flower,",NA
128,Betta Mints by Milo Confections,betta-mints-by-milo-confections,CA,"Edibles, Medical,",NA
129,Betty Khronic,betty-khronic,CA,"Edibles,",NA
130,BG Family Farms,bg-family-farms,CA,"Flower,",NA
131,Bhang,bhang,CA,"Vapes, Edibles, Medical, Batteries,",NA
132,Big Daddy Edibles,big-daddy-edibles,CA,"Concentrates, Edibles, Medical,",NA
133,Bigfoot Genetics,bigfoot-genetics,CA,"Flower, Concentrates,",NA
134,BINSKE,binske,CO,"Edibles,",NA
135,BIOCAN (CANADA),biocan-canada,CA,"Vapes,",NA
136,Biohazard Seeds (SPAIN),biohazard-seeds-spain,CA,"Flower,",NA
137,Bionic Bee Organic Cannabis Extracts,bionic-bee-organic-cannabis-extracts,CA,"Vapes,",NA
138,BirdBubble,birdbubble,CA,"Concentrates,",NA
139,Biscotti,biscotti,CA,"Flower,",NA
140,Black Rose Reserve,black-rose-reserve,CA,"Flower,",NA
141,Black Sheep Herbs & Extracts,black-sheep-herbs-extracts,CA,NA,NA
142,Blackleaf,blackleaf,CA,"Flower, Concentrates, Apparel,",NA
143,Blackout Premium Roll,blackout-premium-roll,Ca,"Flower,",NA
144,Blaze,blaze,OR,"Flower, Concentrates, Edibles,",NA
145,Blazin Asian Medibles,blazin-asian-medibles,CA,"Edibles,",NA
