id,name,slug,location,category,instagram
409,Defined Concentrates,defined-concentrates,WA,"Concentrates,",NA
410,DÃ©foncÃ©,defonce,CA,NA,NA
411,Delights,delights,CA,"Vapes,",NA
412,Delta 9,delta-9,CA,"Vapes, Edibles, Medical,",NA
413,Delta 9 Labs (NETHERLANDS),delta-9-labs-netherlands,CA,"Flower,",NA
414,Denver Dab Co.,denver-dab-co,CO,"Concentrates,",NA
415,Derby Bakery,derby-bakery,CA,"Edibles,",NA
416,Deschutes Growery,deschutes-growery,OR,"Flower,",NA
417,Detroit Fudge Company,detroit-fudge-company,MI,NA,NA
418,Deviant Dabs,deviant-dabs,CA,"Concentrates,",NA
419,DHO Co.,dho-co,CA,"Vapes,",NA
420,Diablo Xtracts,diablo-xtracts,CA,"Concentrates,",NA
421,Diamond Concentrates (CANADA),diamond-concentrates-canada,AB,"Concentrates, Vape Pens,",NA
422,Dicot Farms,dicot-farms,AZ,"Flower,",NA
423,Dinafem Seeds (SPAIN),dinafem-seeds-spain,AZ,"Flower,",NA
424,Dirty Arm Farm,dirty-arm-farm,OR,"Concentrates, Edibles,",NA
425,District Edibles,district-edibles,CO,"Edibles,",NA
426,Dixie Elixirs & Edibles,dixie-elixirs-edibles,Colorado,"Edibles, Medical,",NA
427,DJ Short Seeds,dj-short-seeds,Colorado,"Flower,",NA
428,DNA Genetics (NETHERLANDS),dna-genetics-netherlands,CA,"Flower, Apparel,",NA
429,DNG Medicated,dng-medicated,CA,"Concentrates, Edibles,",NA
430,Doc & Yeti Urban Farms,doc-yeti-urban-farms,WA,"Flower, Vape Pens,",NA
431,Doc Holidaze,doc-holidaze,WA,"Vapes, Medical,",NA
432,Doctor Terpene,doctor-terpene,WA,"Edibles,",NA
433,DomPen,dompen,CA,"Vapes,",NA
434,Donkey Shrub LLC,donkey-shrub-llc,MI,NA,NA
435,Dopamine Seeds (SPAIN),dopamine-seeds-spain,MI,NA,NA
436,Dose Oil,dose-oil,MI,NA,NA
437,Double Dutch Farms,double-dutch-farms,WA,"Flower,",NA
438,Down to Dab Extracts,down-to-dab-extracts,Ca,"Concentrates, Vape Pens, Medical,",NA
439,Dr Seeds (CANADA),dr-seeds-canada,Ca,"Flower,",NA
440,Dr. Blaze,dr-blaze,Ca,"Flower,",NA
441,Dr. OGX,dr-ogx,Ca,NA,NA
442,Dr. Raw Organics,dr-raw-organics,CA,"Edibles, Medical,",NA
443,Dr. Sluggworth,dr-sluggworth,CA,"Flower, Concentrates, Vape Pens, Medical,",NA
444,Dr. Stash,dr-stash,CA,"Medical,",NA
445,Dr. Zodiaks Moonrock,dr-zodiaks-moonrock,CA,"Flower, Edibles,",NA
446,Dragon Elixir (CANADA),dragon-elixir-canada,ON,NA,NA
447,Dream City Cannabis,dream-city-cannabis,WA,"Flower,",NA
448,Dream Steam,dream-steam,AZ,"Concentrates,",NA
449,Drift,drift,AZ,"Edibles,",NA
450,Dro-tein,dro-tein,AZ,"Edibles,",NA
451,Duke Seeds Bank (SPAIN),duke-seeds-bank-spain,AZ,"Flower,",NA
452,Dunlevie,dunlevie,AZ,"Vapes,",NA
453,Dutch Brothers Farms,dutch-brothers-farms,WA,NA,NA
454,Dutch Girl,dutch-girl,CO,"Flower, Edibles,",NA
455,Dutch Passion Seed Company (NETHERLANDS),dutch-passion-seed-company-netherlands,CO,NA,NA
456,Dutchie,dutchie,CO,NA,NA
457,Dying Breed Seeds,dying-breed-seeds,CO,"Flower,",NA
458,Dynasty Genetics,dynasty-genetics,CO,"Flower,",NA
459,E&M Medicals,e-m-medicals,CO,"Concentrates, Medical,",NA
460,Eagle by Dr. Robb,eagle-by-dr-robb,CA,NA,NA
461,Eagle Packs,eagle-packs,CA,"Flower,",NA
462,Earth Dragon Organics (CANADA),earth-dragon-organics-canada,BC,"Medical,",NA
463,Earth Extracts,earth-extracts,BC,"Concentrates, Vape Pens,",NA
464,Earth Milk,earth-milk,CA,"Medical,",NA
465,Earth Science Tech,earth-science-tech,CA,"Medical,",NA
466,EARTH STRONG,earth-strong,CA,"Flower,",NA
467,East Coast Gold,east-coast-gold,CA,"Concentrates,",NA
468,East Fork Cultivars,east-fork-cultivars,OR,"Flower,",NA
469,Eatmygreens,eatmygreens,CA,"Edibles,",NA
470,ebbuâ„¢ llc,ebbu-llc,CO,"Vapes,",NA
471,Eco,eco,CO,"Flower, Concentrates,",NA
472,ECO Vape,eco-vape,CO,"Vapes, Batteries,",NA
473,ecopen,ecopen,MI,"Vapes,",NA
474,Eden Medicinal Society (CANADA),eden-medicinal-society-canada,MI,"Concentrates,",NA
475,Edible Factory,edible-factory,MI,"Edibles,",NA
476,Edibles by E,edibles-by-e,MI,NA,NA
477,EdiPure,edipure,CA,"Edibles,",NA
478,Elements,elements,CA,"Flower, Concentrates,",NA
479,Elephant Extracts,elephant-extracts,CA,"Concentrates,",NA
480,Elevate Herbals,elevate-herbals,CA,NA,NA
481,Elevated Group Extracts,elevated-group-extracts,CA,"Flower, Concentrates, Vape Pens, Medical,",NA
482,Elevation VIP,elevation-vip,CA,"Edibles,",NA
483,Elevators Premium Pre Rolls,elevators-premium-pre-rolls,CA,"Flower,",NA
484,Elicit Labs,elicit-labs,CA,"Concentrates,",NA
485,Ã‰lite Seeds (SPAIN),elite-seeds-spain,CA,"Flower,",NA
486,ELIXICURE,elixicure,CA,NA,NA
487,Elixinol,elixinol,MI,"Concentrates, Edibles,",NA
488,ELIXR,elixr,MI,NA,NA
489,Emerald City Cultivation,emerald-city-cultivation,MI,"Flower, Concentrates, Vape Pens,",NA
490,Emerald Family Farms,emerald-family-farms,CA,"Flower,",NA
491,Emerald Farms,emerald-farms,California,"Concentrates, Vape Pens, Medical,",NA
492,Emerald Fields Cannabis,emerald-fields-cannabis,California,NA,NA
493,Emerald Orchards,emerald-orchards,California,"Flower,",NA
494,Emerald Triangle Buds,emerald-triangle-buds,California,"Flower,",NA
495,Empower,empower,Oregon,"Medical,",NA
496,Endocanna Concentrates,endocanna-concentrates,Colorado,"Concentrates,",NA
497,Endohack Labs,endohack-labs,Colorado,"Medical,",NA
498,Enjoyable Edibles,enjoyable-edibles,CA,NA,NA
499,EPC Experience Premium Cannabis,epc-experience-premium-cannabis,NV,NA,NA
500,Epic Edibles,epic-edibles,NV,"Concentrates, Edibles,",NA
501,Epic Extracts,epic-extracts,CA,NA,NA
502,Epiphany Hour,epiphany-hour,CA,"Medical,",NA
503,Ermont Inc,ermont-inc,CA,"Vapes, Edibles,",NA
504,Errluminati,errluminati,CA,"Concentrates,",NA
505,Essences of Life,essences-of-life,CA,"Medical,",NA
506,Essential CBD,essential-cbd,MI,"Concentrates, Vape Pens, Medical,",NA
507,Essential Extracts,essential-extracts,CO,"Concentrates,",NA
508,Ethno Botanica,ethno-botanica,CO,"Flower,",NA
509,Eudaimonia Co.,eudaimonia-co,California,"Edibles,",NA
510,Eugene Weed Works,eugene-weed-works,California,"Flower,",NA
511,Eureka Vapor,eureka-vapor,CA,"Concentrates, Vape Pens, Batteries,",NA
512,Eva Seeds (SPAIN),eva-seeds-spain,CA,"Flower,",NA
513,EvaGreen Farms,evagreen-farms,CA,NA,NA
514,Everest Live Resin,everest-live-resin,CA,"Edibles,",NA
515,Evergreen Edibles,evergreen-edibles,CA,"Edibles,",NA
516,Evergreen Herbal,evergreen-herbal,Wa,"Concentrates, Edibles,",NA
517,Evergreen Organix,evergreen-organix,Nv,"Flower, Concentrates, Vape Pens, Edibles, Medical,",NA
518,Evolab,evolab,CO,"Concentrates, Vape Pens CBD, Vape Pens, Medical,",NA
519,EVOLVD,evolvd,Oregon,"Vapes,",NA
520,Evoxe Laboratories,evoxe-laboratories,CA,"Vapes,",NA
521,Exclusive Seeds Bank (SPAIN),exclusive-seeds-bank-spain,CA,"Flower,",NA
522,Executive Crud,executive-crud,CA,"Flower,",NA
523,Exotic California Concentrates,exotic-california-concentrates,CA,"Concentrates,",NA
524,Exotic Chronics,exotic-chronics,CA,"Flower,",NA
525,Exotic Genetix,exotic-genetix,CA,"Flower,",NA
526,Exotic Seeds,exotic-seeds,CA,"Flower,",NA
527,Expert Seed (UK),expert-seed-uk,CA,"Flower,",NA
528,Extraction 710,extraction-710,CA,"Featured, Flower, Concentrates,",NA
529,Extractioneering,extractioneering,CA,"Concentrates,",NA
530,Eye Candy Edibles,eye-candy-edibles,CA,"Edibles,",NA
531,Eyebake Medibles (CANADA),eyebake-medibles-canada,ON,"Edibles,",NA
532,Fairwinds Manufacturing,fairwinds-manufacturing,WA,"Edibles, Medical,",NA
533,Family Strong Farms,family-strong-farms,WA,NA,NA
534,Family Treez Concentrates,family-treez-concentrates,WA,"Edibles,",NA
535,Famous Genetics,famous-genetics,WA,"Flower, Concentrates,",NA
536,Farm Caramels,farm-caramels,CA,"Edibles,",NA
537,Farm to Fire,farm-to-fire,CA,NA,NA
538,Fastbuds American Autoflowers (SPAIN),fastbuds-american-autoflowers-spain,CA,NA,NA
539,Feminized Seeds,feminized-seeds,CA,"Flower,",NA
540,Fire Farms,fire-farms,CA,"Flower,",NA
541,Fire Meds,fire-meds,CA,"Flower, Edibles,",NA
542,Firebars (CANADA),firebars-canada,ON,"Edibles,",NA
543,Firebird,firebird,ON,"Flower,",NA
544,Firebrand Infusions,firebrand-infusions,AZ,"Flower, Concentrates, Edibles, Medical,",NA
545,Firefly Fire Joints,firefly-fire-joints,Ca,"Flower,",NA
546,First Class Canna,first-class-canna,CA,"Flower, Concentrates, Vape Pens,",NA
547,First Class Concentrates,first-class-concentrates,ca,NA,NA
548,Five Star Extracts,five-star-extracts,CA,"Vapes, Batteries,",NA
549,FlavRX,flavrx,CA,"Concentrates, Vape Pens, Edibles, Medical, Batteries,",NA
550,Flawless Extracts,flawless-extracts,ON,"Concentrates,",NA
551,FLiCKS,flicks,ON,"Flower,",NA
552,Flight Brands,flight-brands,CA,"Concentrates,",NA
553,FLIGHT FARMS,flight-farms,CA,"Vapes, Batteries,",NA
554,FLORACAL FARMS,floracal-farms,CA,"Flower,",NA
555,Flow Kana,flow-kana,Ca,"Flower,",NA
556,Flower By Flowers,flower-by-flowers,Ca,"Flower,",NA
557,Flower of Life CBD,flower-of-life-cbd,CA,"Vapes, Edibles, Batteries,",NA
558,Flower Power,flower-power,CA,"Medical,",NA
559,Flurish Group,flurish-group,CA,"Edibles,",NA
560,FlyNHigh Extracts,flynhigh-extracts,CALIFORNIA,NA,NA
561,Flyte Concentrates (CANADA),flyte-concentrates-canada,BC,"Concentrates, Vape Pens,",NA
562,Forbidden Leaf,forbidden-leaf,BC,"Accessories, Medical, Apparel,",NA
563,Foreign Genetics,foreign-genetics,BC,"Flower,",NA
564,Forest Nymph Botanicals,forest-nymph-botanicals,Ca,"Medical,",NA
565,Forever Phoenix (CANADA),forever-phoenix-canada,BC,"Concentrates, Medical, Apparel,",NA
566,FORIA,foria,CA,"Medical,",NA
567,Four County Farms,four-county-farms,CA,NA,NA
568,Fox Hollow Flora,fox-hollow-flora,Oregon,"Flower,",NA
569,FrankWax,frankwax,Oregon,"Concentrates,",NA
570,Free Soul Seeds (SPAIN),free-soul-seeds-spain,Oregon,"Flower,",NA
571,Freeman Farms,freeman-farms,Oregon,NA,NA
572,Fregrowli,fregrowli,MI,"Flower, Concentrates, Edibles,",NA
573,French Dab,french-dab,MI,"Edibles,",NA
574,French Laundry Hash,french-laundry-hash,CA,"Concentrates,",NA
575,French Touch Seeds (SPAIN),french-touch-seeds-spain,CA,NA,NA
576,Fresh Off The Bud,fresh-off-the-bud,Ca,"Concentrates, Vape Pens, Medical,",NA
577,Fresh Weed,fresh-weed,Ca,"Flower,",NA
578,Fried Extracts,fried-extracts,CA,NA,NA
579,Froggie Farm Nursery,froggie-farm-nursery,CA,"Flower,",NA
580,From The Soil,from-the-soil,WA,"Flower, Concentrates,",NA
581,Frontier Farms,frontier-farms,WA,"Flower,",NA
582,Frosted Flowers,frosted-flowers,CA,NA,NA
583,FRSH,frsh,CA,NA,NA
584,FRUIT SLABS,fruit-slabs,CA,"Edibles,",NA
585,Fuller Life Remedies,fuller-life-remedies,CA,"Edibles, Medical,",NA
586,Fullerton Family Farms,fullerton-family-farms,CA,"Flower, Concentrates, Medical,",NA
587,Fully Activated,fully-activated,CA,"Edibles, Medical,",NA
588,Fully Baked Gourmet Cannabis Ice Cream,fully-baked-gourmet-cannabis-ice-cream,CA,NA,NA
589,Funky Extracts,funky-extracts,MI,"Concentrates, Edibles, Medical,",NA
590,Funky Farms,funky-farms,MI,NA,NA
591,Gage Green Group,gage-green-group,MI,"Flower,",NA
592,Galactic  Gardens,galactic-gardens,MI,"Edibles,",NA
593,Ganja Chica,ganja-chica,CA,NA,NA
594,Ganja Cones,ganja-cones,CA,"Flower,",NA
595,Ganja Eats,ganja-eats,CA,"Edibles,",NA
596,Ganja Farm (SPAIN),ganja-farm-spain,CA,"Edibles, Medical,",NA
597,Ganja Gold,ganja-gold,CA,"Flower, Concentrates,",NA
598,Ganja Grindz Coffee Company,ganja-grindz-coffee-company,CA,NA,NA
599,Ganja Wallah,ganja-wallah,CA,"Edibles,",NA
600,Ganjalato,ganjalato,CA,NA,NA
601,Garden of Green Seedbank (UK),garden-of-green-seedbank-uk,CA,"Flower,",NA
602,Garden Of Weedn,garden-of-weedn,CA,"Flower,",NA
603,Garden of Zen Clones,garden-of-zen-clones,CA,NA,NA
604,Garden Path Organics,garden-path-organics,CA,"Flower,",NA
605,Gardens Ablaze Seeds,gardens-ablaze-seeds,CA,"Flower,",NA
606,Garrison Lane,garrison-lane,CA,"Flower,",NA
607,Gas Station Extractions,gas-station-extractions,CA,"Concentrates, Vape Pens,",NA
608,Gasman Extracts,gasman-extracts,CA,"Concentrates,",NA
609,Gastown (CANADA),gastown-canada,AB,"Flower, Concentrates, Vape Pens,",NA
610,Gea Seeds (SPAIN),gea-seeds-spain,AB,"Flower,",NA
611,Geek Farms,geek-farms,Oregon,"Flower,",NA
612,Gemstonz,gemstonz,CA,"Edibles, Medical,",NA
613,Gen X,gen-x,CA,"Concentrates, Vape Pens, Batteries,",NA
614,Genehtik (SPAIN),genehtik-spain,CA,"Flower,",NA
615,Geneseeds Bank (SPAIN),geneseeds-bank-spain,CA,"Flower,",NA
616,Genesis Pharms,genesis-pharms,OR,"Flower, Edibles,",NA
617,Genetics Providers Co-Op Inc.,genetics-providers-co-op-inc,OR,"Flower,",NA
618,George Waxhington,george-waxhington,MI,"Concentrates, Vape Pens, Medical,",NA
619,Get Hemp Butter,get-hemp-butter,MI,NA,NA
620,GfarmaLabs,gfarmalabs,CA,"Flower, Concentrates, Vape Pens, Edibles,",NA
621,Ghost Grow,ghost-grow,CA,NA,NA
622,Ghost SHO,ghost-sho,MI,"Flower, Concentrates,",NA
623,Giddy Up Extracts,giddy-up-extracts,NV,"Concentrates,",NA
624,Ginger Ganja Group Corp. (CANADA),ginger-ganja-group-corp-canada,NV,"Flower,",NA
625,Glacial Gold Premium Extracts (CANADA),glacial-gold-premium-extracts-canada,NS,"Concentrates, Edibles, Medical,",NA
626,Glass God Extracts,glass-god-extracts,NS,"Concentrates, Vape Pens,",NA
627,Glasshouse Extracts,glasshouse-extracts,NS,"Concentrates,",NA
628,Global CBD,global-cbd,NS,"Medical,",NA
629,Global Genetics,global-genetics,CA,"Flower,",NA
630,Globville Mining Co.,globville-mining-co,CA,"Concentrates,",NA
631,Gold Nugget Extracts,gold-nugget-extracts,CA,"Concentrates,",NA
632,Gold Seal SF,gold-seal-sf,Ca,"Flower,",NA
633,Gold Standard Vapes,gold-standard-vapes,Ca,NA,NA
634,Golden Barn,golden-barn,CO,"Concentrates, Vape Pens, Medical, Batteries,",NA
635,Golden Brandsâ„¢,golden-brands,CO,"Vapes,",NA
636,Golden Gateway,golden-gateway,CO,"Flower,",NA
637,Golden Goddess Botanicals,golden-goddess-botanicals,CA,NA,NA
638,Golden Grizzly California,golden-grizzly-california,CA,NA,NA
639,Golden State Banana,golden-state-banana,CA,"Flower, Concentrates,",NA
640,Golden State Cultivators,golden-state-cultivators,CA,"Flower,",NA
641,Golden State Labs,golden-state-labs,CA,"Concentrates,",NA
642,GoldStract,goldstract,CA,NA,NA
643,Good Life,good-life,CA,"Flower, Edibles,",NA
644,Good Life Vapes,good-life-vapes,CA,"Vapes, Medical,",NA
645,Good Ol Boys Farms,good-ol-boys-farms,CA,"Flower,",NA
646,Good Tree,good-tree,CA,NA,NA
647,Goodies by MaGooch,goodies-by-magooch,CA,"Edibles,",NA
648,Gooey Man,gooey-man,CA,"Edibles,",NA
649,Gorilla Glue #1 #4 #5 Strains,gorilla-glue-1-4-5-strains,CA,"Flower,",NA
650,Got Chilled,got-chilled,MI,NA,NA
651,Gourmet Budhead Edibles & Drinkables,gourmet-budhead-edibles-drinkables,CA,NA,NA
652,Grass O Matic,grass-o-matic,CA,"Flower,",NA
653,Grass Valley Orchards,grass-valley-orchards,CA,NA,NA
654,Gravity Thieves,gravity-thieves,Washington,"Concentrates,",NA
655,Green Acres Pharm,green-acres-pharm,WA,NA,NA
656,Green Apples,green-apples,CA,"Flower,",NA
657,Green Bodhi,green-bodhi,CA,NA,NA
658,Green Common Sense (SPAIN),green-common-sense-spain,CA,"Flower,",NA
659,Green Cross Brands,green-cross-brands,CA,"Edibles,",NA
660,Green Degree,green-degree,CA,"Flower,",NA
661,Green Dot Labs,green-dot-labs,CO,"Concentrates,",NA
662,Green Dragon Extracts,green-dragon-extracts,OR,"Vapes,",NA
663,Green Gadget,green-gadget,OR,"Flower, Concentrates,",NA
664,Green Garden Gold,green-garden-gold,MI,"Edibles, Medical,",NA
665,Green Hope Clones,green-hope-clones,MI,"Flower,",NA
666,Green House Seed Co. (NETHERLANDS),green-house-seed-co-netherlands,MI,NA,NA
667,Green Island Naturals (CANADA),green-island-naturals-canada,NS,"Vapes, Medical,",NA
668,Green Kings,green-kings,CA,"Vapes, Apparel,",NA
669,Green Rush Goodies,green-rush-goodies,CA,"Edibles,",NA
670,Green Ticket Bakery,green-ticket-bakery,CA,"Edibles,",NA
671,Green Torpedo,green-torpedo,CA,"Concentrates,",NA
672,Green Trees,green-trees,CA,"Concentrates, Edibles,",NA
673,"GreenGo Extracts, Inc",greengo-extracts-inc,CA,"Concentrates, Vape Pens,",NA
674,Greenhill Goodies,greenhill-goodies,CA,"Edibles,",NA
675,GreenLyfe,greenlyfe,CA,"Concentrates,",NA
676,Greensticks,greensticks,CA,"Concentrates,",NA
677,Greenthumb Danny,greenthumb-danny,CA,"Concentrates,",NA
678,GreenWave Phytomedications,greenwave-phytomedications,CA,"Vapes, Batteries,",NA
679,Greenway Medibles,greenway-medibles,CA,"Edibles, Medical,",NA
680,Grizzly Peak Farms,grizzly-peak-farms,CA,"Flower,",NA
681,GrÃ¶n,gron,Oregon,"Edibles,",NA
682,GROW OPS,grow-ops,Oregon,"Flower, Concentrates,",NA
683,Grow Your Own (NETHERLANDS),grow-your-own-netherlands,Oregon,NA,NA
684,Growers Choice Seeds,growers-choice-seeds,CA,"Flower,",NA
685,Growing Famous Strains,growing-famous-strains,CA,"Flower,",NA
686,GrowMeds Clones,growmeds-clones,CA,NA,NA
687,Guild Extracts,guild-extracts,CA,NA,NA
688,Guilty Pleasures by Millie LLC,guilty-pleasures-by-millie-llc,MI,"Edibles,",NA
689,Gummi Cares,gummi-cares,CA,NA,NA
690,Habit Sparkling Beverage,habit-sparkling-beverage,CA,"Concentrates, Vape Pens, Edibles, Medical,",NA
691,Haggard Extracts,haggard-extracts,CA,NA,NA
692,Half Baked,half-baked,CA,"Edibles,",NA
693,HalfLit,halflit,CA,"Edibles,",NA
694,HÃ¤lsa Topicals,halsa-topicals,CA,NA,NA
695,Happy Buddha Holistics,happy-buddha-holistics,CA,"Edibles,",NA
696,Happy Face Brand (CANADA),happy-face-brand-canada,BC,"Vapes,",NA
697,Happy Fish Edibles,happy-fish-edibles,BC,"Edibles,",NA
698,Happy Frog Extracts,happy-frog-extracts,CA,"Concentrates,",NA
699,HAPPY KIND,happy-kind,Ca,"Flower, Concentrates, Edibles,",NA
700,Happy Seed Edibles,happy-seed-edibles,Ca,"Edibles, Medical,",NA
701,Harmony Extracts,harmony-extracts,CO,"Concentrates,",NA
702,Hash Boyz,hash-boyz,CO,"Concentrates,",NA
703,Hashman Infused,hashman-infused,CA,NA,NA
704,HD Extracts,hd-extracts,CA,"Concentrates,",NA
705,Head On,head-on,CA,"Flower, Edibles,",NA
706,Head Stash Horticulture,head-stash-horticulture,Oregon,"Flower,",NA
707,Headstash MMJ (CANADA),headstash-mmj-canada,AB,"Concentrates, Edibles,",NA
708,Heady Heads,heady-heads,AB,"Concentrates,",NA
709,Healthy Creation Edibles,healthy-creation-edibles,CO,NA,NA
710,Heartland Industries,heartland-industries,CO,"Featured, Flower, Concentrates, Seeds & Clones,",NA
711,Heavenly Sweet,heavenly-sweet,CA,"Edibles,",NA
712,Heavy Edibles,heavy-edibles,CA,"Edibles,",NA
713,Heavy Hitters,heavy-hitters,CA,"Concentrates, Vape Pens, Batteries,",NA
714,HEISENBERG EXTRACTS,heisenberg-extracts,CA,"Concentrates,",NA
715,Helibo,helibo,CA,"Vapes,",NA
716,Hemp Doctors USA,hemp-doctors-usa,CA,NA,NA
717,Hemp Fields Farm,hemp-fields-farm,CA,"Edibles,",NA
718,HempBrothers (SPAIN),hempbrothers-spain,CA,"Flower,",NA
719,HempMed CBD (CANADA),hempmed-cbd-canada,NS,"Concentrates, Edibles, Medical,",NA
720,HempMeds,hempmeds,NS,"Concentrates, Medical,",NA
721,Hempture (UK),hempture-uk,NS,"Concentrates, Medical,",NA
722,Herb Angels (CANADA),herb-angels-canada,NS,"Concentrates, Edibles, Medical,",NA
723,Herbalistic Farms,herbalistic-farms,NS,"Flower,",NA
724,Herbalogics,herbalogics,NS,NA,NA
725,Herban Legends,herban-legends,NS,"Flower,",NA
726,HerbinArtisans,herbinartisans,NS,NA,NA
727,HESHIES,heshies,CA,"Flower,",NA
728,HG Chug,hg-chug,Ca,NA,NA
729,HGH Extractions,hgh-extractions,CA,"Concentrates, Apparel,",NA
730,HGH Green Country Delights,hgh-green-country-delights,CA,"Edibles,",NA
731,HI Guys,hi-guys,CA,"Concentrates,",NA
732,Hi-Honey,hi-honey,CA,"Concentrates,",NA
733,HI-NESS,hi-ness,CA,"Edibles,",NA
734,Hi-Pops,hi-pops,CA,"Edibles,",NA
735,Hi-Rez Industries,hi-rez-industries,CA,"Concentrates,",NA
736,HIFI Chocolates,hifi-chocolates,CA,"Edibles,",NA
737,Hifi Farms,hifi-farms,CA,"Flower,",NA
738,High Balls,high-balls,CA,"Edibles,",NA
739,High Breed,high-breed,CA,"Concentrates,",NA
740,High Class Honey,high-class-honey,CA,"Concentrates,",NA
741,High Desert Pure,high-desert-pure,Oregon,"Concentrates,",NA
742,High Gorgeous,high-gorgeous,CA,NA,NA
743,High Leaf Extracts,high-leaf-extracts,CA,"Concentrates,",NA
744,High Standard,high-standard,CA,"Flower, Concentrates,",NA
745,High Tech Concentrates,high-tech-concentrates,CO,"Concentrates, Vape Pens,",NA
746,High Tech Connect,high-tech-connect,CO,"Concentrates,",NA
747,High Voltage Rolls,high-voltage-rolls,CA,NA,NA
748,Higher Class Genetics,higher-class-genetics,CA,"Flower,",NA
749,Higher Elevation Finest Medicinals,higher-elevation-finest-medicinals,CA,"Concentrates,",NA
750,Higher Power Potions,higher-power-potions,MI,NA,NA
751,Higher Society,higher-society,MI,"Concentrates,",NA
752,Highlife Bud & Extracts,highlife-bud-extracts,MI,"Flower, Concentrates,",NA
753,Highly Edible,highly-edible,Colorado,"Edibles,",NA
754,HighZenBear Extracts,highzenbear-extracts,CA,"Concentrates, Vape Pens,",NA
755,Highznbudz,highznbudz,CA,"Flower,",NA
756,Hillside Pharms,hillside-pharms,CA,"Flower, Concentrates,",NA
757,HIMALAYA,himalaya,CA,NA,NA
758,HiNaturals,hinaturals,CA,NA,NA
759,Hippie Butter,hippie-butter,CA,"Edibles, Medical, Apparel,",NA
760,Hippo Treats,hippo-treats,CA,"Flower, Edibles,",NA
761,Hitman Farms,hitman-farms,CA,"Concentrates,",NA
762,Hive Medicated Honey,hive-medicated-honey,Oregon,"Concentrates, Edibles,",NA
763,hmbldt,hmbldt,California,"Vapes,",NA
764,Hollyweed Clones Inc.,hollyweed-clones-inc,California,"Flower,",NA
765,Holy Grail Hemp and CBD,holy-grail-hemp-and-cbd,CA,"Concentrates, Edibles, Medical,",NA
766,Holy Water Extracts,holy-water-extracts,CA,"Concentrates,",NA
767,HomeGrown Natural Wonders,homegrown-natural-wonders,OR,"Flower,",NA
768,Honey & Venom,honey-venom,OR,"Edibles,",NA
769,Honey Badger Extracts (CANADA),honey-badger-extracts-canada,ON,"Concentrates,",NA
770,Honey Daze,honey-daze,ON,NA,NA
771,Honey Oil,honey-oil,CA,"Concentrates, Vape Pens, Edibles, Batteries,",NA
772,Honey Pot,honey-pot,CA,"Edibles, Medical,",NA
773,Honey Tree Medicinal,honey-tree-medicinal,California,"Concentrates, Medical,",NA
774,Honey Vape,honey-vape,CA,"Concentrates, Vape Pens, Medical,",NA
775,Honey-Fire Extracts,honey-fire-extracts,CA,"Concentrates,",NA
776,HoneyBeeBuzzed,honeybeebuzzed,CA,"Edibles,",NA
777,Honeycomb Extracts (SPAIN),honeycomb-extracts-spain,CA,"Concentrates,",NA
778,Honu,honu,Wa,"Flower, Vape Pens, Edibles, Medical,",NA
779,Hood River Extracts,hood-river-extracts,Wa,"Flower, Concentrates,",NA
780,HorsEjuice,horsejuice,Wa,"Edibles,",NA
781,Hot Nife,hot-nife,CA,"Vapes,",NA
782,Hot Sugar!,hot-sugar,Wa,"Edibles,",NA
783,House of Clones,house-of-clones,CA,"Flower,",NA
784,House of Loud,house-of-loud,CA,"Concentrates,",NA
785,Humble Flower Co.,humble-flower-co,CA,"Medical,",NA
786,Humboldt AF Cannabis,humboldt-af-cannabis,CA,"Flower, Concentrates,",NA
787,Humboldt Apothecary,humboldt-apothecary,CA,"Edibles,",NA
788,Humboldt Crudeâ„¢,humboldt-crude,CA,"Vapes,",NA
789,Humboldt Harvest,humboldt-harvest,CA,"Edibles,",NA
790,Humboldt Marijuana Co,humboldt-marijuana-co,CA,"Concentrates, Medical,",NA
791,Humboldt Pure,humboldt-pure,CA,"Flower, Concentrates,",NA
792,Humboldt Seed Organization (SPAIN),humboldt-seed-organization-spain,CA,"Flower,",NA
793,Hurricane Rolls,hurricane-rolls,CA,NA,NA
794,Huxton,huxton,AZ,NA,NA
795,Hype Concentrates,hype-concentrates,MI,"Concentrates, Edibles, Medical,",NA
796,Hyperfly Labs,hyperfly-labs,MI,"Medical,",NA
797,i502 Cannabisâ„¢,i502-cannabis,MI,NA,NA
798,Iced Out Extracts,iced-out-extracts,MI,"Concentrates,",NA
799,IceTeaHC (CANADA),iceteahc-canada,MI,NA,NA
800,IceWaterOC,icewateroc,MI,"Concentrates,",NA
801,iLava,ilava,MI,NA,NA
802,Illuminati Medicinals,illuminati-medicinals,Michigan,"Flower,",NA
803,Illuminatus,illuminatus,CA,"Flower,",NA
804,"Imbue Botanicals, LLC",imbue-botanicals-llc,CA,"Edibles,",NA
805,Imperial Extracts,imperial-extracts,California,"Concentrates,",NA
806,Imperial Genetics,imperial-genetics,California,"Flower,",NA
807,Imperial Trading Co.,imperial-trading-co,Oregon,NA,NA
808,In House Genetics,in-house-genetics,Oregon,"Flower,",NA
809,Incog Wellness Group,incog-wellness-group,CA,"Concentrates, Edibles,",NA
810,Incredible Edible Alternatives,incredible-edible-alternatives,CALIFORNIA,"Edibles,",NA
811,Incredible Edible Treats,incredible-edible-treats,CALIFORNIA,NA,NA
812,Incredibles,incredibles,Co,NA,NA
813,INDVR,indvr,Co,NA,NA
